blockDate,Transactions
2018-09-01,3477
2018-09-02,3450
2018-09-03,3647
2018-09-04,6149
2018-09-05,3783
2018-09-06,3723
2018-09-07,3678
2018-09-08,3829
2018-09-09,3582
2018-09-10,3572
2018-09-11,3862
2018-09-12,4098
2018-09-13,4056
2018-09-14,3762
2018-09-15,3423
2018-09-16,3142
2018-09-17,3661
2018-09-18,3849
2018-09-19,3687
2018-09-20,4054
2018-09-21,4481
2018-09-22,3736
2018-09-23,4293
2018-09-24,5086
